case,file,thread_d_mm,variant,h_max,h_min,curvature,nodes,tets,time_s,ok,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
TP_M12_long,0_100.stp,12.0,baseline_auto,0.0,0.0,12.0,,,0.07,False,,,,,,,,,,,,
TP_M12_long,0_100.stp,12.0,h08d,0.96,0.48,12.0,,,0.01,False,,,,,,,,,,,,
TP_M12_long,0_100.stp,12.0,h10d,1.2,0.6,12.0,,,0.01,False,,,,,,,,,,,,
TP_M12_long,0_100.stp,12.0,h12d,1.44,0.72,12.0,,,0.01,False,,,,,,,,,,,,
TP_M12_long,0_100.stp,12.0,h15d,1.8,0.9,12.0,,,0.01,False,,,,,,,,,,,,
TP_M12_long,0_100.stp,12.0,fixed_0.8mm,0.8,0.8,12.0,,,0.01,False,,,,,,,,,,,,
TP_M12_long,0_100.stp,12.0,fixed_1.2mm,1.2,1.2,12.0,,,0.01,False,,,,,,,,,,,,
TP_M6_med,0_10.stp,6.0,baseline_auto,0.0,0.0,12.0,,,0.01,False,,,,,,,,,,,,
TP_M6_med,0_10.stp,6.0,h08d,0.48,0.24,12.0,,,0.01,False,,,,,,,,,,,,
TP_M6_med,0_10.stp,6.0,h10d,0.6,0.3,12.0,,,0.01,False,,,,,,,,,,,,
TP_M6_med,0_10.stp,6.0,h12d,0.72,0.36,12.0,,,0.01,False,,,,,,,,,,,,
TP_M6_med,0_10.stp,6.0,h15d,0.9,0.45,12.0,,,0.01,False,,,,,,,,,,,,
TP_M6_med,0_10.stp,6.0,fixed_0.8mm,0.8,0.8,12.0,,,0.01,False,,,,,,,,,,,,
TP_M6_med,0_10.stp,6.0,fixed_1.2mm,1.2,1.2,12.0,,,0.01,False,,,,,,,,,,,,
TP_M3_short,0_11.stp,3.0,baseline_auto,0.0,0.0,12.0,,,0.01,False,,,,,,,,,,,,
TP_M3_short,0_11.stp,3.0,h08d,0.24,0.12,12.0,,,0.01,False,,,,,,,,,,,,
TP_M3_short,0_11.stp,3.0,h10d,0.3,0.15,12.0,,,0.01,False,,,,,,,,,,,,
TP_M3_short,0_11.stp,3.0,h12d,0.36,0.18,12.0,,,0.01,False,,,,,,,,,,,,
TP_M3_short,0_11.stp,3.0,h15d,0.45,0.225,12.0,,,0.01,False,,,,,,,,,,,,
TP_M3_short,0_11.stp,3.0,fixed_0.8mm,0.8,0.8,12.0,,,0.01,False,,,,,,,,,,,,
TP_M3_short,0_11.stp,3.0,fixed_1.2mm,1.2,1.2,12.0,,,0.01,False,,,,,,,,,,,,
TP_M8,0_50.stp,12.0,baseline_auto,0.0,0.0,12.0,,,0.01,False,,,,,,,,,,,,
TP_M8,0_50.stp,12.0,h08d,0.96,0.48,12.0,,,0.01,False,,,,,,,,,,,,
TP_M8,0_50.stp,12.0,h10d,1.2,0.6,12.0,,,0.01,False,,,,,,,,,,,,
