file,length_mm,r_shank_mm,r_head_mm,head_len_mm,r_tip_mm,r_shank_top_mm,chamfer_axial_mm
0_10.stp,51.0,3.0,5.000000000000001,6.0,3.000000000000008,3.000000000000008,nan
0_100.stp,72.0,5.999999999999999,9.000000000000002,12.0,6.000000000000011,6.000000000000011,nan
0_101.stp,38.0,3.999999999999999,6.500000000000001,8.0,4.000000000000005,4.000000000000005,nan
0_11.stp,23.0,1.5,2.7500000000000004,3.0,1.5000000000000033,1.5000000000000033,nan
0_12.stp,45.0,2.5,4.250000000000001,5.0,2.500000000000007,2.500000000000007,nan
0_13.stp,24.0,3.999999999999999,6.500000000000001,8.0,4.000000000000003,4.000000000000003,nan
0_14.stp,38.0,1.5,2.7500000000000004,3.0,1.5000000000000062,1.5000000000000062,nan
0_15.stp,26.0,3.999999999999999,6.500000000000001,8.0,4.0000000000000036,4.0000000000000036,nan
0_16.stp,13.0,1.4999999999999998,2.7500000000000004,3.0,1.5000000000000018,1.5000000000000018,nan
0_17.stp,15.0,1.4999999999999996,2.7500000000000004,3.0,1.5000000000000022,1.5000000000000022,nan
0_18.stp,21.0,1.5,2.7500000000000004,3.0,1.5000000000000033,1.5000000000000033,nan
0_19.stp,33.0,1.5,2.7500000000000004,3.0,1.5000000000000053,1.5000000000000053,nan
0_2.stp,3.0,1.3186899010290167,3.1,0.33240783556071296,1.213754506270173,1.4627528157979068,0.6
0_20.stp,12.0,1.9999999999999996,3.5000000000000004,4.0,2.0000000000000013,2.0000000000000013,nan
0_21.stp,29.0,2.0,3.5000000000000004,4.0,2.0000000000000044,2.0000000000000044,nan
0_22.stp,15.0,2.4999999999999996,4.250000000000001,5.0,2.5000000000000018,2.5000000000000018,nan
0_23.stp,19.0,2.4999999999999996,4.250000000000001,5.0,2.5000000000000027,2.5000000000000027,nan
0_24.stp,23.0,2.499999999999999,4.250000000000001,5.0,2.500000000000003,2.5000000000000036,nan
0_25.stp,27.0,2.499999999999999,4.250000000000001,5.0,2.500000000000004,2.5000000000000044,nan
0_26.stp,14.0,2.9999999999999996,5.000000000000001,4.867223840736786,3.0000000000000013,3.0000000000000018,nan
0_27.stp,20.0,2.9999999999999996,5.000000000000001,6.0,3.0000000000000027,3.0000000000000027,nan
0_28.stp,22.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000003,3.000000000000003,nan
0_29.stp,24.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000003,3.0000000000000036,nan
0_3.stp,3.0,1.1368686700792698,2.0545351206051503,0.556812489239162,1.1,1.2044093039286612,0.57679255454417
0_30.stp,28.0,2.9999999999999996,5.000000000000001,6.0,3.000000000000004,3.000000000000004,nan
0_31.stp,66.0,3.0,5.000000000000001,6.0,3.000000000000011,3.0000000000000107,nan
0_32.stp,76.0,3.0,5.000000000000001,6.0,3.000000000000013,3.000000000000013,nan
0_33.stp,43.0,3.999999999999999,6.500000000000001,8.0,4.000000000000006,4.000000000000006,nan
