File Name,Freq_1 (Hz),Freq_2 (Hz),Freq_3 (Hz),Freq_4 (Hz),Freq_5 (Hz),Freq_6 (Hz),Freq_7 (Hz),Freq_8 (Hz),Freq_9 (Hz),Freq_10 (Hz),Freq_11 (Hz),Freq_12 (Hz),Time (s)
0_10.stp,47839.15,50876.84,63297.91,111589.48,102819.62,116151.26,140480.84,145107.31,221501.22,208001.42,228572.34,246109.45,0.094
0_100.stp,28907.59,30471.99,37860.67,64215.81,59255.34,67243.04,80841.5,82630.32,123688.86,116574.2,127387.44,136895.05,0.011
0_101.stp,38017.1,40258.34,50075.52,86804.85,80028.61,90550.29,109139.42,112129.46,169827.62,159663.44,175101.16,188389.28,0.01
0_11.stp,78909.14,84672.79,105506.43,193323.66,177901.73,200003.8,243258.03,253714.67,395216.78,369651.97,408544.94,440819.75,0.01
0_12.stp,55142.46,58795.55,73174.06,130396.47,120110.05,135514.12,164192.22,170089.92,261058.34,244894.72,269517.62,290365.31,0.01
0_13.stp,38571.0,40846.34,50827.21,88243.46,81346.28,91991.96,110871.69,113857.3,172607.8,162254.22,178001.94,191527.45,0.012
0_14.stp,78487.08,84190.74,104871.84,192035.42,176695.22,198726.81,241792.7,252394.28,392661.31,367422.25,405969.91,437931.66,0.01
0_15.stp,38627.69,40910.94,50904.04,88376.37,81469.31,92137.38,111056.04,114061.34,172916.16,162549.97,178312.77,191863.19,0.01
0_16.stp,80242.96,86134.23,107368.32,197063.17,181335.38,203738.34,247768.38,258242.84,402850.75,376708.38,416456.31,449434.03,0.01
0_17.stp,79817.0,85669.41,106778.46,195886.34,180253.17,202555.17,246323.69,256770.97,400420.62,374455.06,413923.97,446695.38,0.01
0_18.stp,78574.63,84306.55,105054.45,192455.23,177108.34,199101.69,242116.98,252471.25,393302.44,367827.19,406553.09,438675.75,0.01
0_19.stp,78278.25,83971.52,104608.94,191530.89,176234.91,198190.73,241100.03,251579.11,391486.94,366299.38,404740.22,436619.53,0.01
0_2.stp,111575.34,120340.43,150217.5,283665.09,260655.03,291585.75,355195.5,372317.47,589986.88,549664.44,610905.12,660012.62,0.012
0_20.stp,65658.23,70210.7,87485.88,158157.39,145628.84,163890.97,198811.3,206311.05,319351.34,298992.16,329908.84,355761.44,0.01
0_21.stp,65080.34,69600.45,86672.7,156448.12,144059.56,162262.48,196938.84,204616.5,316269.12,296228.56,326683.62,352222.19,0.01
0_22.stp,55933.35,59639.36,74281.53,132647.34,122183.35,137710.81,166740.78,172485.94,265299.38,248701.28,273921.19,295192.06,0.01
0_23.stp,55926.89,59644.24,74273.46,132594.08,122136.8,137687.09,166737.16,172535.2,265331.09,248756.48,273925.5,295194.41,0.01
0_24.stp,55113.53,58761.91,73163.03,130455.46,120173.82,135508.56,164071.95,169785.94,260928.94,244637.94,269356.25,290251.34,0.01
0_25.stp,55278.64,58944.79,73382.56,130847.83,120537.29,135939.27,164630.05,170418.66,261851.47,245519.72,270309.81,291268.62,0.011
0_26.stp,48048.41,51080.82,63605.84,112326.7,103499.3,116774.78,141092.56,145472.56,222524.16,208780.38,229630.2,247318.62,0.01
0_27.stp,48965.09,52088.78,64849.55,114617.2,105606.12,119184.77,144093.56,148688.0,227479.72,213485.31,234759.19,252847.98,0.01
0_28.stp,48664.67,51765.67,64440.99,113834.8,104889.25,118392.16,143124.59,147695.44,225902.44,212003.62,233115.7,251072.47,0.01
0_29.stp,48285.78,51356.02,63926.14,112854.69,103989.07,117391.05,141898.84,146430.75,223896.62,210123.56,231033.78,248822.84,0.011
0_3.stp,123989.82,134237.05,167443.03,317581.91,292219.12,326892.25,399784.09,419825.12,666567.38,620701.62,689657.38,745553.56,0.01
0_30.stp,47745.74,50771.86,63189.9,111448.82,102701.59,115964.03,140159.19,144647.14,221047.0,207447.91,228079.06,245621.94,0.01
0_31.stp,47905.16,50943.45,63370.76,111710.45,102923.09,116286.61,140684.84,145384.44,221804.36,208344.45,228906.86,246446.36,0.01
0_32.stp,48146.49,51201.56,63686.52,112297.64,103457.0,116895.89,141457.34,146232.44,223054.47,209557.27,230218.41,247843.05,0.01
0_33.stp,38327.92,40596.45,50492.52,87561.05,80726.06,91347.25,110132.87,113188.72,171435.67,161186.2,176762.16,190176.56,0.01
0_34.stp,38088.11,40335.36,50149.56,86886.52,80093.25,90674.47,109374.91,112497.05,170144.38,160075.22,175454.53,188728.19,0.01
0_35.stp,32088.96,33861.21,42121.66,72139.97,66521.22,75338.47,90576.59,92666.05,139511.78,131307.94,143792.09,154604.11,0.01
0_36.stp,32226.69,34011.72,42306.96,72470.2,66826.21,75689.09,91010.21,93127.29,140213.94,131973.48,144516.38,155383.83,0.01
0_37.stp,32008.93,33778.18,42014.94,71930.56,66328.77,75132.81,90333.73,92431.05,139123.22,130958.19,143394.42,154168.84,0.01
0_38.stp,32063.08,33841.73,42088.11,72049.3,66439.6,75268.92,90510.5,92633.0,139418.02,131245.47,143687.53,154484.41,0.01
0_39.stp,31401.75,33133.09,41197.08,70403.2,64927.48,73582.2,88462.13,90538.41,136137.69,128166.95,140289.66,150813.34,0.01
0_4.stp,55564.35,59239.8,73707.05,131384.34,121000.05,136550.94,165546.72,171657.28,263245.31,247066.44,271841.09,292809.25,0.01
0_40.stp,31690.96,33446.11,41583.3,71096.52,65568.28,74314.65,89368.8,91499.76,137594.91,129540.33,141791.28,152431.41,0.01
0_41.stp,31825.34,33592.05,41762.16,71414.67,65861.27,74651.98,89790.83,91952.08,138269.14,130183.62,142487.3,153179.44,0.01
0_42.stp,31815.8,33582.63,41748.22,71382.96,65830.83,74622.67,89763.69,91933.52,138216.97,130147.97,142435.22,153119.0,0.01
0_43.stp,31661.08,33415.99,41533.4,70974.03,65450.16,74209.71,89285.22,91472.95,137422.75,129440.62,141623.56,152229.22,0.011
0_44.stp,31614.77,33364.96,41467.13,70847.05,65331.45,74081.95,89139.92,91338.65,137178.67,129227.05,141377.62,151956.41,0.01
0_45.stp,28927.99,30478.16,37894.06,64346.4,59366.7,67313.95,80866.81,82564.27,123738.05,116564.16,127464.05,136993.83,0.01
0_46.stp,28684.37,30223.12,37567.4,63729.89,58803.27,66697.3,80128.41,81827.12,122568.41,115477.65,126243.77,135674.31,0.01
0_47.stp,28333.63,29847.78,37096.14,62868.01,58012.08,65812.51,79053.55,80726.34,120856.87,113866.59,124473.0,133759.98,0.01
0_48.stp,28600.49,30137.1,37452.63,63502.64,58598.95,66483.23,79883.02,81600.92,122179.74,115116.7,125833.98,135226.14,0.01
0_49.stp,28833.1,30389.16,37763.69,64056.93,59110.25,67066.45,80604.71,82360.45,123328.56,116206.19,127016.85,136500.95,0.011
0_5.stp,38304.71,40572.82,50456.93,87478.75,80646.0,91270.93,110063.61,113146.89,171301.38,161098.38,176628.88,190022.86,0.01
0_50.stp,28882.74,30443.81,37829.43,64169.62,59213.65,67187.75,80760.68,82530.62,123571.23,116445.38,127266.34,136768.19,0.01
0_51.stp,28920.8,30486.92,37876.27,64235.74,59272.08,67268.02,80884.52,82687.88,123743.44,116645.15,127446.73,136953.7,0.01
0_52.stp,28831.92,30390.65,37753.91,64008.04,59061.42,67036.13,80610.8,82418.38,123296.75,116237.11,126989.88,136455.83,0.01
0_53.stp,28792.42,30346.63,37694.71,63891.86,58951.13,66920.55,80487.29,82315.2,123079.86,116060.68,126776.8,136214.58,0.01
0_54.stp,48197.15,51266.39,63798.09,112565.34,103728.91,117139.06,141637.8,146237.09,223461.84,209747.59,230577.23,248307.14,0.01
0_55.stp,64821.1,69310.0,86289.94,155675.78,143325.66,161480.22,196056.94,203813.12,314705.25,294919.12,325115.5,350463.62,0.01
0_56.stp,65297.36,69834.36,86990.95,157138.25,144690.28,162895.39,197630.39,205180.91,317444.72,297262.72,327889.94,353577.62,0.01
0_57.stp,64766.32,69257.42,86260.16,155700.06,143369.53,161441.88,195869.34,203386.28,314493.38,294529.19,324831.62,350253.38,0.01
0_58.stp,65183.91,69713.91,86822.73,156760.38,144354.61,162569.27,197280.06,204920.09,316874.12,296735.31,327291.06,352902.22,0.01
0_59.stp,65248.69,69784.3,86923.61,156994.14,144552.59,162750.47,197472.12,205036.56,317164.19,297039.09,327600.12,353259.03,0.01
0_6.stp,38415.91,40692.55,50608.73,87766.36,80913.53,91566.95,110415.44,113502.03,171885.78,161626.06,177229.5,190676.48,0.01
0_60.stp,80546.99,86459.27,107783.75,197905.78,182118.72,204594.45,248796.75,259286.83,404592.22,378274.0,418264.62,451404.53,0.011
0_61.stp,47912.8,50954.53,63387.67,111745.39,102957.22,116319.28,140715.41,145394.09,221860.11,208383.12,228959.19,246507.44,0.01
0_62.stp,47992.0,51043.49,63508.82,111992.22,103196.12,116568.42,140979.09,145611.66,222342.84,208756.12,229432.39,247049.05,0.01
0_63.stp,47919.04,50962.41,63400.74,111776.16,102988.92,116348.67,140737.72,145398.59,221912.48,208407.75,229002.38,246567.67,0.01
0_64.stp,48242.97,51311.61,63867.25,112734.62,103878.02,117272.62,141763.38,146303.42,223672.59,209926.23,230797.06,248568.19,0.01
0_65.stp,66590.63,71240.12,88760.6,160585.3,147858.25,166406.89,201944.16,209653.59,324628.94,303968.78,335354.09,361651.38,0.01
0_66.stp,48276.72,51352.86,63903.56,112757.92,103905.49,117344.7,141898.12,146525.5,223888.12,210154.11,231019.11,248783.08,0.011
0_67.stp,48137.4,51202.22,63710.87,112381.88,103557.13,116964.7,141450.7,146081.8,223133.03,209474.06,230244.59,247934.31,0.01
0_68.stp,48052.01,51107.14,63603.38,112211.48,103403.52,116763.93,141161.2,145718.92,222686.27,209003.75,229774.47,247446.25,0.01
0_69.stp,48456.07,51532.14,64093.04,113058.81,104152.31,117686.25,142448.12,147312.94,224675.31,211106.88,231912.19,249655.27,0.01
0_7.stp,55635.81,59335.05,73863.78,131746.34,121364.86,136883.55,165813.19,171695.31,263810.88,247368.28,272338.44,293455.09,0.01
0_70.stp,31715.62,33475.05,41610.37,71122.27,65588.46,74358.06,89454.02,91630.62,137706.0,129688.72,141910.88,152547.06,0.01
0_71.stp,65985.61,70584.26,87933.98,158973.25,146374.47,164762.64,199925.5,207560.09,321265.22,300841.25,331856.62,357868.31,0.01
0_72.stp,55129.85,58781.79,73183.49,130481.91,120198.75,135546.81,164132.94,169871.12,261027.17,244742.41,269457.06,290353.81,0.01
0_73.stp,55411.63,59084.36,73570.05,131244.34,120896.54,136308.09,165044.67,170784.94,262539.09,246141.62,271026.81,292065.06,0.01
0_74.stp,55000.97,58641.77,72987.04,130051.36,119799.11,135157.75,163729.72,169579.56,260319.22,244156.91,268743.0,289540.41,0.01
0_75.stp,38469.05,40741.09,50689.1,87971.19,81097.89,91727.53,110556.27,113554.43,172116.39,161797.81,177479.81,190964.78,0.01
0_76.stp,31785.0,33546.8,41688.98,71244.43,65689.33,74491.14,89662.9,91906.88,137989.25,130037.59,142229.88,152861.69,0.01
0_77.stp,32154.21,33935.77,42163.46,72101.43,66473.57,75392.12,90795.67,93152.95,139796.66,131773.34,144123.19,154875.95,0.01
0_78.stp,78589.92,84323.27,105083.34,192536.27,177176.47,199151.94,242153.66,252455.56,393361.56,367884.31,406605.28,438761.38,0.01
0_79.stp,56430.49,60189.22,74959.2,133914.41,123350.42,139034.62,168390.36,174246.31,268058.12,251302.58,276757.5,298257.25,0.01
0_8.stp,56205.61,59933.08,74649.52,133369.38,122853.12,138445.94,167633.38,173396.02,266789.97,250051.03,275441.12,296848.28,0.01
0_80.stp,80733.55,86628.89,107887.57,197923.19,182071.3,204771.12,249370.22,260608.5,405449.0,379555.38,419301.81,452264.81,0.01
0_81.stp,38535.23,40811.62,50732.35,87951.5,81062.25,91782.22,110774.48,114026.02,172380.66,162247.5,177798.05,191224.55,0.01
0_82.stp,49426.16,52575.12,65381.68,115482.95,106370.25,120191.11,145567.72,150663.72,229793.41,215972.91,237245.69,255376.34,0.01
0_83.stp,52983.38,56409.59,70143.23,124481.53,114615.05,129526.69,157119.23,162977.12,248813.48,233953.33,257013.28,276612.72,0.01
0_84.stp,38137.01,40390.7,50227.43,87048.88,80248.84,90830.7,109532.5,112609.41,170431.16,160293.12,175734.53,189051.81,0.011
0_85.stp,82767.71,88836.95,110626.95,203293.19,186984.42,210290.25,256257.42,268045.78,417128.62,390567.38,431457.66,465350.44,0.01
0_86.stp,54978.16,58613.64,72942.96,129949.84,119695.69,135059.28,163647.98,169549.3,260141.06,244060.38,268582.31,289339.25,0.01
0_87.stp,55336.72,59009.47,73451.44,130946.02,120623.98,136067.53,164832.69,170699.91,262159.88,245860.62,270640.12,291602.88,0.01
0_88.stp,64858.52,69356.75,86360.89,155831.28,143484.95,161635.84,196197.05,203881.28,314995.16,295089.69,325381.25,350790.94,0.01
0_89.stp,78834.14,84590.88,105423.3,193215.56,177805.38,199841.89,242982.66,253294.62,394782.69,369173.81,408073.25,440358.19,0.01
0_9.stp,37979.68,40215.44,50028.23,86734.39,79959.03,90456.8,109009.47,111963.47,169610.66,159459.55,174881.78,188159.58,0.01
0_90.stp,78314.1,84014.84,104672.02,191667.84,176377.69,198334.94,241233.88,251664.22,391771.25,366468.28,404998.91,436941.31,0.01
0_91.stp,38075.86,40323.96,50139.84,86877.11,80086.26,90656.67,109337.77,112430.79,170094.72,160009.7,175395.81,188675.0,0.01
0_92.stp,48681.79,51772.94,64464.23,113923.91,104969.23,118444.45,143158.78,147665.16,225932.97,211994.44,233157.41,251125.38,0.01
0_93.stp,48738.7,51837.08,64541.19,114051.99,105086.33,118590.61,143350.78,147892.38,226246.47,212310.69,233492.8,251482.72,0.01
0_94.stp,39099.59,41417.04,51539.66,89571.4,82569.92,93362.46,112548.52,115595.7,175336.28,164801.5,180812.19,194569.52,0.01
0_95.stp,64689.74,69170.17,86121.84,155360.84,143042.78,161152.28,195627.5,203319.05,314008.19,294222.72,324378.72,349684.12,0.01
0_96.stp,28702.29,30238.7,37591.55,63785.28,58852.21,66743.37,80177.05,81863.99,122639.96,115539.28,126326.98,135764.38,0.01
0_97.stp,31454.23,33187.26,41268.82,70546.53,65056.18,73717.67,88617.22,90682.09,136385.05,128397.09,140548.53,151099.44,0.01
0_98.stp,81566.06,87566.61,109175.76,200692.48,184698.39,207428.14,252257.16,262852.81,410472.09,383636.25,424288.94,457983.88,0.01
