File Name,Freq_1 (Hz),Freq_2 (Hz),Freq_3 (Hz),Freq_4 (Hz),Freq_5 (Hz),Freq_6 (Hz),Freq_7 (Hz),Freq_8 (Hz),Freq_9 (Hz),Freq_10 (Hz),Freq_11 (Hz),Freq_12 (Hz),Time (s)
rand_0001.stp,60286.75,60336.06,78561.38,151786.3,173114.3,173337.4,186868.8,186886.0,314797.9,315486.2,339157.3,350983.0,10.68
rand_0002.stp,21945.89,21959.68,30232.12,40050.64,40062.73,50690.63,63102.49,63122.85,77165.13,83863.52,85996.87,86094.64,18.52
rand_0003.stp,21007.8,21010.02,29026.43,40376.58,40396.55,49372.94,61276.8,61279.44,77824.59,84272.57,84495.6,84545.99,20.54
rand_0004.stp,91817.99,91867.57,120845.0,213307.7,213583.7,215233.8,264917.1,265003.8,418474.5,418585.2,429300.9,441156.8,8.83
rand_0005.stp,30094.55,30103.81,40700.35,69631.08,69670.65,72584.53,89298.87,89378.69,139927.5,140604.4,141781.4,142014.7,11.29
rand_0006.stp,23891.95,23893.89,32661.12,47426.82,47506.61,55877.56,68984.68,69004.03,92996.1,98724.12,99239.46,99346.62,13.77
rand_0007.stp,31238.4,33100.08,40457.54,69453.67,71238.86,78360.67,89583.55,90605.35,138543.6,139817.3,142062.1,143525.4,10.60
rand_0008.stp,51762.91,51801.51,69525.24,111329.1,111416.2,120820.7,148489.8,148809.2,224295.7,224876.0,232328.3,232576.3,11.09
rand_0009.stp,47848.74,47882.07,63935.57,110053.4,110183.6,113744.5,140138.1,140194.5,221180.4,222277.4,226638.2,226658.5,15.06
rand_0010.stp,44511.19,44545.03,59835.01,109727.3,109797.0,109943.2,136154.3,136214.7,222181.2,222695.2,223165.5,223208.4,24.48
rand_0011.stp,31308.01,31317.43,42114.54,69537.92,69576.79,73524.72,90127.6,90155.52,137949.8,139442.8,142065.5,142106.9,14.07
rand_0012.stp,57725.68,57785.05,74830.38,146462.8,172288.4,172357.1,178745.3,179159.0,304623.7,305022.8,330499.9,343030.1,12.98
rand_0013.stp,24634.79,24644.11,34395.32,47573.21,47621.68,58731.27,72341.72,72361.38,92113.71,97808.03,98060.2,99325.58,14.87
rand_0014.stp,17313.67,17323.07,24508.89,33774.81,33790.92,41316.3,51061.36,51063.62,64724.53,68519.24,68624.61,69963.32,22.03
rand_0015.stp,61575.77,61609.03,81395.12,155280.4,175370.4,175392.9,191083.7,191115.2,322038.6,322090.9,340394.8,348854.3,13.88
rand_0016.stp,23172.54,23224.09,32002.35,47402.63,47421.65,54867.67,68067.89,68147.85,92055.01,96503.02,97024.63,97718.23,16.00
rand_0017.stp,21731.53,21742.11,29940.57,40564.87,40601.22,50243.34,62225.51,62240.91,78157.54,84555.17,85542.54,85624.72,22.96
rand_0018.stp,38253.44,38316.48,51712.89,90867.37,91294.29,91470.38,110834.6,110963.4,174621.1,177434.0,177674.3,180681.6,11.76
rand_0019.stp,22412.25,22425.57,31381.67,40999.32,41068.79,52640.01,64817.91,64837.37,78423.66,84761.55,85012.06,85087.14,15.41
rand_0020.stp,17589.2,17599.24,24994.43,33497.0,33542.8,41885.87,51815.2,51827.01,63772.37,68085.74,68186.36,69212.38,34.00
rand_0021.stp,50092.21,50134.74,65998.33,110145.1,110237.8,115880.9,142180.8,142213.2,221829.2,224137.0,224414.5,224511.9,7.95
rand_0022.stp,23040.82,23055.47,32165.69,40914.92,40920.54,53402.34,65824.87,65878.92,78261.0,84659.21,85781.74,85827.95,15.58
rand_0023.stp,17820.55,17822.2,25033.02,33576.92,33629.22,41797.25,51794.7,51807.47,64707.69,69509.46,69618.05,69847.81,18.73
rand_0024.stp,29248.73,29306.89,40853.03,56886.69,57114.41,68170.82,83664.1,83969.21,111028.4,116232.3,116645.3,116880.9,16.49
rand_0025.stp,63610.05,63653.16,82767.06,155976.6,173324.8,173698.6,190722.5,191378.2,314475.3,314591.6,336795.7,352711.5,7.70
rand_0026.stp,70025.65,70070.99,89328.52,176891.5,205129.8,205282.6,218972.2,219303.2,374869.6,376067.0,412105.7,427188.7,16.86
rand_0027.stp,24407.66,24418.06,34283.7,47331.97,47339.36,58512.8,72081.28,72093.62,90444.15,96406.77,96538.13,98210.19,20.47
rand_0028.stp,26526.52,26536.32,36823.93,47117.1,47132.9,60938.44,75197.81,75313.11,90280.7,98103.31,99665.05,99701.7,16.56
rand_0029.stp,84149.27,84203.91,107661.4,198035.0,207795.0,208171.1,243046.4,243158.8,387951.1,388024.9,418764.8,432247.9,7.46
rand_0030.stp,63556.38,63632.28,83875.48,157766.4,175227.0,175499.1,194471.7,194944.8,322870.9,323159.7,340804.6,351975.4,9.68
rand_0031.stp,62702.76,62747.58,81564.28,154103.9,172541.2,172821.6,187839.9,187971.1,310822.5,310856.3,332627.1,348386.7,10.43
rand_0032.stp,72044.29,72101.17,94153.78,168318.0,176212.4,176297.7,203761.0,203854.0,321379.9,321448.8,335758.3,359206.4,9.06
rand_0033.stp,76581.29,76778.48,99527.39,190708.1,208339.3,209122.9,238229.1,239477.6,399855.9,400536.8,427973.9,438598.5,8.84
rand_0034.stp,22380.07,22397.31,30936.0,40417.05,40433.18,51509.44,63839.39,63854.9,77408.54,84130.58,86020.62,86061.4,21.88
rand_0035.stp,22102.59,22109.73,30522.66,40016.06,40028.91,51090.33,63592.59,63612.72,76864.56,83684.48,85889.08,85998.3,23.92
rand_0036.stp,21849.6,21861.12,30421.96,40658.82,40797.58,51798.14,63672.33,63810.2,78149.85,84609.5,84984.17,85067.73,17.94
rand_0037.stp,16962.57,16973.46,23670.7,33623.48,33661.66,40156.03,49721.16,49739.33,65325.4,69239.77,69374.49,69792.22,18.36
rand_0038.stp,32340.87,32350.15,44516.67,70528.59,70556.57,76741.09,94186.25,94308.59,139737.8,139833.2,140624.6,140803.1,14.14
rand_0039.stp,34708.23,34724.42,46771.05,85497.51,91168.61,91222.89,104415.9,104455.1,173038.7,173069.9,173805.3,177589.4,19.00
rand_0040.stp,61244.74,61257.32,80123.47,153617.9,173459.5,173632.2,189231.8,189281.5,317761.7,317769.5,340060.3,350734.3,16.69
rand_0041.stp,30138.27,30147.45,40879.17,69775.22,69875.08,72983.83,89362.18,89746.32,139342.3,140027.0,140772.3,140867.0,12.12
rand_0042.stp,20746.8,20752.8,28796.51,40921.84,40959.53,49432.35,61040.93,61053.57,78560.33,84255.37,84433.73,85002.09,17.23
rand_0043.stp,22204.99,22213.3,30692.63,40527.44,40568.63,51541.84,63936.82,63954.76,78303.16,84797.13,86382.08,86492.58,17.73
rand_0044.stp,36899.11,36907.57,50743.99,90428.64,91858.73,91948.98,110922.6,110956.6,176874.1,177897.3,178021.2,181719.0,19.44
rand_0045.stp,36351.26,36368.97,48840.88,88456.83,90953.65,91029.46,108570.0,108764.7,177748.9,177951.2,178022.1,182319.2,11.61
rand_0046.stp,22478.48,22484.43,30924.83,40659.92,40729.27,51555.41,63841.75,63872.48,78505.05,84868.22,86550.04,86980.16,12.18
rand_0047.stp,21378.68,21382.62,29701.23,40352.47,40375.01,50382.08,62513.33,62519.37,77244.55,83948.02,84464.38,84563.21,25.85
rand_0048.stp,96232.14,96373.85,126818.2,213302.5,213461.3,221756.2,271908.0,272062.1,421236.9,421373.0,429057.1,438607.5,7.79
rand_0049.stp,28219.23,28255.74,39229.54,57490.45,57646.22,67043.71,82051.31,82056.59,112326.6,115575.8,115665.6,116918.1,13.08
rand_0050.stp,61770.61,61804.78,83815.78,138433.7,138601.3,145801.9,178749.3,178821.5,273308.3,279723.9,281077.0,281588.4,12.74
rand_0051.stp,45936.17,45940.34,60282.89,108363.4,108424.6,109520.2,135493.9,135540.7,220526.7,220579.5,221695.1,222193.7,11.01
rand_0052.stp,23173.9,23179.58,32089.22,47314.03,47334.6,55373.95,68399.18,68401.2,91749.15,96603.23,96625.85,98161.35,20.10
rand_0053.stp,30807.16,30919.91,42264.83,70155.03,70320.1,74742.42,91828.73,92073.0,139923.9,140530.7,140720.3,140980.4,15.07
rand_0054.stp,22166.39,22184.42,31129.91,40953.41,41005.16,52568.45,64699.03,64790.51,78064.21,84512.13,84717.99,84809.3,12.84
