File Name,Freq_1 (Hz),Freq_2 (Hz),Freq_3 (Hz),Freq_4 (Hz),Freq_5 (Hz),Freq_6 (Hz),Freq_7 (Hz),Freq_8 (Hz),Freq_9 (Hz),Freq_10 (Hz),Freq_11 (Hz),Freq_12 (Hz),Time (s)
0_10.stp,48915.24,49010.03,64973.67,114827.3,115094.9,117461.4,143077.6,144021.0,226478.7,228500.3,231951.3,232158.4,7.74
0_100.stp,28539.22,28545.89,39384.69,58309.32,58339.45,68354.41,83000.3,83015.04,111876.8,116428.3,116469.4,118497.9,7.86
0_101.stp,37228.72,37269.18,50168.53,91067.06,94398.74,94494.61,110119.9,110199.8,178340.1,182140.1,182287.8,182625.6,7.36
0_11.stp,85913.57,85993.74,108605.1,207437.6,231939.6,232035.3,248665.6,248803.3,423047.7,424536.0,436358.4,453102.7,11.33
0_12.stp,56774.35,56811.48,74968.81,137159.7,141585.5,141656.3,166615.0,166667.6,272790.1,275442.6,275819.3,282842.3,8.32
0_13.stp,37059.62,37081.25,50031.39,90664.4,93636.92,93697.76,109840.5,109893.6,177315.5,180527.0,180751.7,182102.9,10.88
0_14.stp,85910.21,86008.06,108616.6,207265.8,232151.2,232792.0,248613.9,248618.9,423823.6,423857.0,436901.6,454705.8,9.61
0_15.stp,37078.18,37124.66,50067.12,90708.04,93746.21,93804.7,109876.4,109954.9,177377.5,180559.5,180659.9,182144.7,10.45
0_16.stp,85919.27,86011.86,108613.4,207294.8,232097.0,232264.0,248610.2,248631.5,423645.6,424273.9,436722.6,454640.9,10.23
0_17.stp,85956.28,86088.09,108763.0,208346.7,230562.7,234866.1,247651.0,250769.3,423623.8,424404.4,436512.7,454535.2,10.28
0_18.stp,85962.19,86056.45,108680.3,207370.4,232135.1,232337.2,248655.6,248772.6,423758.8,423995.7,436606.7,454623.4,9.94
0_19.stp,85995.31,86415.25,108678.4,207229.6,231989.3,232400.7,247470.9,248937.6,423044.6,424259.9,437756.5,451739.3,11.03
0_2.stp,136125.8,155190.2,265168.5,300018.9,342907.3,414485.7,427941.1,451776.0,530320.2,624299.3,649927.4,679647.1,3.27
0_20.stp,66429.35,66477.75,86486.06,163312.2,181413.3,181631.5,196313.7,196400.3,330853.7,331137.2,339850.0,355783.0,12.30
0_21.stp,66685.27,66744.23,86782.78,164300.8,182420.4,183039.7,196732.0,197170.4,329748.1,331723.8,341331.4,358074.1,8.49
0_22.stp,56564.81,56592.56,74825.61,136659.0,140687.9,140768.2,166006.4,166297.4,271513.3,275139.3,275435.3,280282.0,13.47
0_23.stp,56753.22,56797.9,74973.51,137166.8,141168.5,141260.6,166491.7,166839.9,272485.6,275707.7,275861.7,281461.3,7.90
0_24.stp,56785.68,56859.5,74999.86,137281.7,141251.9,143400.3,166453.8,166889.8,272410.0,274185.1,275984.4,282768.3,7.81
0_25.stp,56716.05,56773.9,74953.07,137079.1,141488.2,141586.6,166622.9,166658.4,272672.8,275710.0,275790.3,282746.8,8.85
0_26.stp,48725.13,48761.73,64796.91,114163.7,114232.2,116885.8,142640.6,142696.0,225103.7,225579.8,230490.5,230941.9,14.94
0_27.stp,48718.62,48762.07,64806.52,114208.4,114246.4,116928.7,142663.8,142671.2,225237.1,225485.7,230545.7,230631.7,12.18
0_28.stp,48741.58,48771.11,64890.28,113853.5,114812.1,116830.8,142683.7,146826.0,221970.5,225271.5,226203.9,230946.4,12.88
0_29.stp,48724.83,48791.21,64829.03,114222.7,114260.7,116937.5,142666.1,142844.8,225240.3,225514.6,230504.3,230716.3,12.31
0_3.stp,157030.0,169836.1,325921.5,400842.7,431452.8,439434.6,521026.2,531349.0,599916.8,650998.2,668411.3,770098.4,2.30
0_30.stp,48910.92,48988.48,64964.14,114855.0,115235.4,117452.5,143058.0,143121.3,226530.2,227154.4,232687.8,233290.8,7.23
0_31.stp,48899.71,48975.24,64950.7,114899.5,115055.8,117417.1,143028.4,143348.8,226358.7,227738.0,232301.6,232653.1,9.45
0_32.stp,48904.33,48978.67,64924.54,114756.7,114989.1,117484.0,143029.1,143143.9,226424.6,227431.6,232447.2,232635.5,8.16
0_33.stp,37215.32,37255.96,50202.81,91029.58,94384.6,94519.02,110126.5,110291.4,178276.5,182205.2,182266.9,182604.4,7.70
0_34.stp,37222.42,37258.12,50181.26,91050.85,94382.12,94501.71,110166.1,110197.9,178305.0,181976.9,182515.1,182605.4,7.19
0_35.stp,30988.97,31066.12,42128.37,71494.48,71579.34,74498.95,91052.77,91186.98,139949.3,140651.3,141383.5,141508.6,13.97
0_36.stp,30989.66,31008.23,42135.38,71644.72,71652.47,74571.18,91091.19,91125.92,140030.3,141204.0,141474.6,141501.2,12.56
0_37.stp,30995.03,31008.62,42133.32,71607.13,71633.77,74497.81,91025.55,91215.48,140071.0,141212.5,141480.1,142160.4,13.66
0_38.stp,30983.8,31020.56,42164.07,71543.37,71610.26,74568.7,91137.66,91237.87,139951.4,140759.3,141509.5,141614.6,11.72
0_39.stp,31112.28,31146.37,42257.16,72005.1,72117.37,74868.35,91328.62,91386.72,140705.8,142449.5,142488.6,142751.5,7.76
0_4.stp,56719.33,56761.23,74936.61,137090.8,141571.4,141670.4,166569.5,166606.7,272661.3,275703.6,276183.9,282808.8,10.18
0_40.stp,31084.44,31116.28,42292.81,71931.4,72094.97,74764.63,91218.85,91405.96,140604.9,142218.9,142510.4,142708.0,8.43
0_41.stp,31083.97,31115.49,42302.98,71935.2,72141.06,74559.7,91077.39,92124.23,140487.1,141956.8,142212.8,142574.4,9.61
0_42.stp,31102.11,31143.9,42254.32,72039.22,72155.67,74897.67,91362.42,91401.66,140710.8,142417.7,142599.0,142925.7,9.85
0_43.stp,31152.32,31401.95,42287.38,71586.72,72251.25,74910.76,91401.5,91441.46,140523.1,142049.8,142573.7,142734.7,8.25
0_44.stp,31106.11,31130.42,42226.63,71951.7,72143.17,74855.37,91313.98,91334.6,140617.3,142300.0,142475.2,142758.1,8.48
0_45.stp,28455.81,28518.57,39327.99,58059.42,58087.65,68142.15,82821.7,83311.59,111150.9,115599.3,115685.8,118027.0,10.14
0_46.stp,28461.72,28483.98,39349.75,58034.46,58064.09,68154.82,82856.02,82918.2,111029.5,115506.2,115658.9,118001.2,10.70
0_47.stp,28461.25,28489.78,39321.51,58030.44,58133.06,68195.25,82859.14,82866.4,111013.9,115634.3,115714.1,118006.8,10.55
0_48.stp,28520.23,28561.6,39396.52,58307.16,58323.15,68337.6,83007.37,83035.05,112044.2,116056.1,116162.1,118481.5,7.63
0_49.stp,28522.24,28529.21,39369.51,58310.13,58335.17,68303.06,82965.58,83002.81,111920.3,116306.7,116375.8,118500.4,7.88
0_5.stp,37236.97,37259.45,50178.18,91084.45,94374.35,94495.67,110180.0,110237.4,178244.4,181947.7,182143.2,182600.4,7.34
0_50.stp,28540.06,28548.56,39371.33,58291.41,58342.47,68295.1,82904.8,82969.01,111859.2,116417.4,116490.8,118514.4,7.17
0_51.stp,28534.92,28541.1,39420.99,58289.68,58510.2,68460.34,82958.47,83185.42,111929.3,116363.9,116404.4,118476.9,7.34
0_52.stp,28569.68,28574.88,39437.78,58379.03,58427.31,68477.85,82962.37,83215.35,112222.1,116407.9,116568.2,118612.2,7.18
